,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++
,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_ASL,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_ASL
0,0.37923674623233905,0.9401197604790419,0.9880239520958084,0.5868263473053892,10.666706586826347,69.54538922155687,8.40179640718563,10.2874251497006,19.47185628742515,0.34484063788202096,0.9580838323353293,0.9940119760479041,0.6646706586826348,10.631916167664672,69.8179640718563,8.344311377245509,10.280239520958082,19.40299401197605
1,0.3752042458104033,0.9281437125748504,0.9760479041916167,0.5389221556886228,10.683053892215568,69.61622754491017,8.397604790419162,10.310778443113772,19.50179640718563,0.3387775568924093,0.9580838323353293,0.9640718562874252,0.6706586826347305,10.696287425149702,69.86892215568862,8.411976047904192,10.409580838323352,19.70239520958084
2,0.37425070141781974,0.9281437125748504,0.9820359281437124,0.5449101796407185,10.624790419161677,69.78724550898202,8.35688622754491,10.28502994011976,19.432934131736527,0.3375225160684384,0.9580838323353293,0.9820359281437124,0.6646706586826348,10.75125748502994,69.41688622754491,8.460479041916168,10.4125748502994,19.648502994011977
3,0.3739606464468135,0.9281437125748504,0.9820359281437124,0.5868263473053892,10.67125748502994,69.13179640718562,8.445508982035928,10.315568862275448,19.42994011976048,0.3367847396053143,0.9580838323353293,0.9760479041916167,0.6946107784431138,10.644730538922156,69.94173652694612,8.34550898203593,10.299401197604789,19.480838323353293
4,0.37345783074749506,0.9461077844311377,0.9760479041916167,0.5329341317365269,10.676407185628742,69.8594610778443,8.377844311377245,10.307784431137724,19.561676646706587,0.3366492509020051,0.9580838323353293,0.9760479041916167,0.6646706586826348,10.692934131736527,70.05724550898205,8.376646706586827,10.38502994011976,19.666467065868265
5,0.3731285917990193,0.9281437125748504,0.9760479041916167,0.5568862275449102,10.680898203592815,69.54125748502993,8.376646706586827,10.301197604790417,19.37604790419162,0.3361444502789303,0.9401197604790419,0.9820359281437124,0.6766467065868264,10.687784431137723,69.82832335329343,8.402395209580838,10.38443113772455,19.64251497005988
6,0.3728469916676043,0.9520958083832335,0.9700598802395209,0.5389221556886228,10.717185628742515,69.15916167664669,8.475449101796407,10.352095808383233,19.552694610778445,0.3347677534121881,0.9580838323353293,0.9820359281437124,0.718562874251497,10.561736526946108,70.00239520958085,8.28562874251497,10.223952095808384,19.271257485029942
7,0.37050816080108195,0.9401197604790419,0.9700598802395209,0.5988023952095809,10.655988023952096,69.42371257485028,8.409580838323354,10.31197604790419,19.441916167664672,0.3346920444241398,0.9580838323353293,0.9880239520958084,0.7125748502994012,10.633353293413174,69.88491017964073,8.355688622754492,10.343113772455089,19.48682634730539
8,0.37049532052007333,0.9341317365269461,0.9760479041916167,0.6107784431137725,10.598203592814372,69.83395209580839,8.363473053892216,10.267065868263472,19.48682634730539,0.33387151087893224,0.9461077844311377,0.9940119760479041,0.6886227544910181,10.672694610778445,70.03904191616766,8.383832335329341,10.343712574850297,19.68443113772455
9,0.36961346368179193,0.9281437125748504,0.9760479041916167,0.5868263473053892,10.63808383233533,69.67694610778443,8.374251497005988,10.325149700598802,19.441916167664672,0.33276516468433615,0.9640718562874252,0.9940119760479041,0.7005988023952097,10.638323353293414,69.70437125748504,8.362275449101796,10.337724550898205,19.41497005988024
