pair,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_DCRF,PRED_ONLY_ASL
adv_ele,0.270670222,84.28571429,61.9047619,21.42857143,8.82547619,70.84442857,6.645238095,8.431428571,9.693809524,13.12619048
adv_int,0.260296968,90.09009009,59.45945946,17.11711712,8.588333333,69.78981982,6.822522523,8.803603604,9.31009009,13.26441441
ele_adv,0.286629051,90.47619048,70.95238095,21.9047619,8.248619048,74.19590476,6.167142857,7.482380952,9.695,13.07857143
ele_int,0.278109906,87.4251497,59.88023952,19.16167665,7.394790419,76.72389222,5.429341317,6.89760479,8.523353293,11.5508982
int_adv,0.25073846,88.73873874,61.71171171,18.91891892,8.952387387,68.05382883,7.117117117,8.656756757,9.576891892,13.47297297
int_ele,0.286455246,91.01796407,67.06586826,22.15568862,8.841257485,74.18754491,6.282634731,7.967065868,8.991796407,13.5508982
