pair,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,AVG_GFI_SRC_PRED_DIFF,AVG_FRE_SRC_PRED_DIFF,AVG_FKGL_SRC_PRED_DIFF,AVG_ARI_SRC_PRED_DIFF,AVG_DCRF_SRC_PRED_DIFF,AVG_SMOG_SRC_PRED_DIFF,AVG_ASL_SRC_PRED_DIFF,AVG_GFI_PRED_TGT_ABSDIFF,AVG_FRE_PRED_TGT_ABSDIFF,AVG_FKGL_PRED_TGT_ABSDIFF,AVG_ARI_PRED_TGT_ABSDIFF,AVG_DCRF_PRED_TGT_ABSDIFF,AVG_SMOG_PRED_TGT_ABSDIFF,AVG_ASL_PRED_TGT_ABSDIFF,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_DCRF,PRED_ONLY_SMOG,PRED_ONLY_ASL,PERCENTAGE_OF_ENGLISH
Adv to Ele,0.296410741,93.33333333,77.14285714,17.61904762,2.064190476,-4.857809524,1.976666667,2.489047619,-0.343047619,0.05,5.222857143,2.585380952,11.71542857,2.322857143,3.144761905,1.843142857,0.046190476,4.751428571,10.86580952,66.11404762,8.470952381,10.39809524,10.62942857,0,17.82619048,90
Adv to Int,0.272215569,88.73873874,67.11711712,16.66666667,3.106171171,-7.907117117,2.952702703,3.381531532,-0.391486486,0,7.452702703,3.601216216,14.23279279,3.262162162,4.288738739,1.963828829,0,7.186936937,11.28576577,63.01783784,8.991441441,11.30315315,10.8786036,0,18.17117117,83.78378378
Ele to Adv,0.297383968,92.38095238,76.66666667,20.47619048,1.421857143,-2.638142857,1.258571429,1.535714286,-0.423095238,0.046190476,3.591428571,3.49752381,13.86452381,3.228571429,4.371428571,1.717380952,0.05,6.399047619,9.912095238,70.67590476,7.626666667,9.46047619,10.31509524,0,16.98333333,90.95238095
Ele to Int,0.288534231,92.81437126,74.8502994,29.94011976,1.270359281,-3.333233533,1.328143713,1.451497006,-0.662215569,0.038323353,3.483832335,2.924610778,11.81748503,2.74011976,3.407784431,1.743413174,0.046706587,5.417964072,9.330359281,73.23856287,6.995808383,8.850299401,10.04143713,0,15.88323353,86.22754491
Int to Adv,0.282362651,90.99099099,77.47747748,23.87387387,2.181666667,-5.213108108,2.08018018,2.534234234,-0.062117117,0,5.436936937,3.859504505,14.34743243,3.604954955,4.336936937,1.536351351,0,7.797297297,11.0845045,64.36301802,8.825675676,10.93603604,10.2231982,0,18.27252252,92.79279279
Int to Ele,0.279974141,89.82035928,74.25149701,32.33532934,1.636526946,-2.470958084,1.506586826,1.838922156,-0.500239521,0.046706587,4.680838323,2.657724551,11.7851497,2.328143713,2.937724551,1.725988024,0.038323353,4.836526946,9.946107784,68.29083832,7.695209581,9.371257485,10.24532934,0,15.91616766,89.82035928
